Language_ID,Parameter_ID,Code_ID,Comment,Source_ID
rus,pred_agreement,pred_agreement.yes,,corbett2010agreement
rus,agr_subj,agr_subj.yes,,corbett2010agreement
rus,agr_do,agr_do.no,,corbett2010agreement
rus,agr_io,agr_io.no,,corbett2010agreement
rus,agr_allocutive,agr_allocutive.yes,only in imperative,corbett2010agreement
rus,agr_topic,agr_topic.no,only if topic = subject,corbett2010agreement
rus,agr_adjunct,agr_adjunct.no,,corbett2010agreement
rus,agr_nom_abs,agr_nom_abs.yes,,corbett2010agreement
rus,agr_acc,agr_acc.no,,corbett2010agreement
rus,agr_oblique,agr_oblique.no,,corbett2010agreement
rus,agr_defective_obl,agr_defective_obl.no,,corbett2010agreement
rus,agr_finite,agr_finite.yes,,corbett2010agreement
rus,agr_nonfinite,agr_nonfinite.no,,corbett2010agreement
rus,branching,branching.right,,578392
rus,word_order_basic,word_order_basic.SVO,,578392
rus,word_order_nadj,word_order_nadj.AdjN,,578392
rus,polysynthesis,polysynthesis.no,,578392
rus,alignment,alignment.nominative,,578392
rus,case_marking,case_marking.yes,,578392
rus,scrambling,scrambling.yes,,578392
rus,wh_in_situ,wh_in_situ.no,,578392
rus,pro_drop,pro_drop.yes,,578392
rus,inflectional_synthesis_of_the_verb,inflectional_synthesis_of_the_verb.yes,,578392
sanz,pred_agreement,pred_agreement.yes,,571422
sanz,agr_subj,agr_subj.yes,,571422
sanz,agr_do,agr_do.yes,,571422
sanz,agr_io,agr_io.yes,,571422
sanz,agr_allocutive,agr_allocutive.yes,,571422
sanz,agr_topic,agr_topic.no,,571422
sanz,agr_adjunct,agr_adjunct.yes,,571422
sanz,agr_nom_abs,agr_nom_abs.yes,,571422
sanz,agr_acc,agr_acc.no,,571422
sanz,agr_oblique,agr_oblique.yes,,571422
sanz,agr_defective_obl,agr_defective_obl.no,,571422
sanz,agr_finite,agr_finite.yes,,571422
sanz,agr_nonfinite,agr_nonfinite.yes,,571422
sanz,branching,branching.left,,571422
sanz,word_order_basic,word_order_basic.SOV,,571422
sanz,word_order_nadj,word_order_nadj.AdjN,,571422
sanz,polysynthesis,polysynthesis.no,,571422
sanz,alignment,alignment.ergative,,571422
sanz,case_marking,case_marking.yes,,571422
sanz,scrambling,scrambling.yes,,571422
sanz,wh_in_situ,wh_in_situ.no,,571422
sanz,pro_drop,pro_drop.yes,,571422
sanz,inflectional_synthesis_of_the_verb,inflectional_synthesis_of_the_verb.yes,,571422
